,review,sentiment
58,"Williams's bewildering, sinuous film encourages us to realise that getting lost is a destination in itself.",positive
59,"Its only aim is to make us jump, make us laugh, and send us off with a thrilling final shot that's everything a ""Cloverfield"" fan could want from a prequel.",positive
60,A touching ode to the rewards and challenges of female friendship...,positive
61,The special effects are jaw-dropping.,positive
62,There's nothing wrong with a little predictability and a comfortable presentation when it's a sweet and moving movie like 'Palmer.',positive
63,"What Catwoman: Hunted lacks in plot, it makes up for with chase/fight scenes.",positive
64,"What, might you ask, is the cause of all this cloak-and-dagger skullduggery? Well, I could tell you, but then I'd have to bore you.",negative
65,"Most certainly, it will make you root for the Roughriders on and off the court.",positive
66,...runs on circle-of-life blather and Casio-keyboard songs by Phil Collins. To call it bland would be an insult to Barry Manilow.,negative
67,18 to Party is a thoroughly lackluster endeavor. Roda's awful screenplay deflates any value from this derivative half-baked homage.,negative
68,&#46;&#46;&#46;an exceedingly deliberate and predominantly uninvolving endeavor&#46;&#46;&#46;,negative
69,"She is woman, but the Helen Reddy biopic doesn't roar.",negative
70,A movie that could have been a fun summer escape winds up with a 150-minute identity crisis.,negative
71,"Sturges veteran Demarest is at his peak here, as is Bracken, whose desperation is hysterical.",positive
72,It&#8217;s on the lower end of Russell&#8217;s filmography in terms of memorability&#44; but is handled with such a light&#44; circusy touch that it&#8217;s not a bad way to kill a few hours&#46;,positive
73,"After a decade or so of suppressing his more lurid instincts, Oliver Stone is back in the bat-crap-crazy mode that made his Oscar-winning rap-sheet rep.",positive
74,Keira Knightley as Anna is supremely brilliant.,positive
75,"A little goes a long way, and despite the presence of the sleepily charismatic del Toro-his beleaguered Alejandro carries heavy baggage both in his heart and beneath his eyes-the Soldado man show does grow tiresome.",negative
76,"Recorder: The Marion Stokes Project reminds us that there is no such thing as objectivity when reporting on human behavior, and anyone who tells you otherwise is probably working for Fox News.",positive
77,"Occasionally pleasurable, but not entirely memorable.",negative
78,A damning indictment of the White House which concludes that 9/11 was less a failure of intelligence than a willful failure to act.,positive
79,"An artfully crafted film with subtle elegance, a moonshine drenched aesthetic and a set of performances that lift it well beyond many other Prohibition stories.",positive
80,"The film, at its best, is gross and silly and amiably unsettling, which may be all that counts.",positive
81,It feels like the middle of a trilogy&#44; but it achieves its goal of creating uncertainty for what&apos;s to come&#46;,positive
82,"From a director who's had a devil of a time lately comes a ""Twilight Zone""-ish horror movie.",negative
83,"If you're comfortable(or unaware) about the ambiguous origins of Drishyam, buy half a ticket to watch the second half. Or perhaps ask your friend's friend to watch it and interpret the plot to you.",positive
84,An overqualified adult cast and some fun moments can't entirely compensate for a defanged protagonist and too-static plot. This fantasy desperately needed a little more magic.,negative
85,"Parnassus is fun to watch a good deal of the time, and Gilliam is almost always visually surprising, but Ledger could have used a more momentous send-off.",positive
86,"As ludicrous and as unfocused as it all might be, Kong: Skull Island kept me amused for practically every second of its two-hour running time.",positive
87,"For all its fluffiness, Cute Girl sows the seeds of Hou's style, gesturing towards the realism and thematic richness of his later work.",positive
88,"If Mars Needs Moms had not have been produced using the mo-cap process -- which still hasn't fixed the problem where some folk have a spooky, neither-alive-nor-dead look -- it might have stood more chance of finding an audience.",negative
89,"a passable entertainment for kids that is hobbled badly by a formulaic plot and talking animals that, for the most part, don't have anything interesting to say",negative
90,"The NFL gets a ""special thanks"" in the end credits. Maybe it should have been the other way around.",negative
91,"Too much game, not enough heart.",negative
92,"The transformation of a fear-based man by a Zorba-the-Greek-like woman with a zest for life, enthusiasm, and creative daring.",positive
93,Tomorrow Never Dies brings non-stop action and thrills in a fun installment of the James Bond franchise&#46;,positive
94,"A somewhat charmless affair which, while striking to look at, fails to come to dramatic life.",negative
95,...a serenely crazed view of the present. The master is back.,positive
96,"This movie, if it is as successful as it deserves to be, might just open slapstick-happy moviemakers' eyes to the idea that kids will flock to a story that explores dark issues.",positive
97,"A pleasant enough diversion, The Hero ... nevertheless sinks into a mire of clichs from which it never quite escapes.",positive
98,"With a plot as unfocused as its freshly graduated characters, the shaggy ""Pitch Perfect 3"" gets by on karaoke logic: What makes for a good time isn't the song you sing, but the company you keep.",positive
99,The year's smartest and spikiest date-movie so far.,positive
100,"A serious treatment might have been more informative, but probably not as entertaining.",positive
101,"As true story-based, blue collar heroes vs. sniveling bureaucrats stories go, one of the better ones. (Splice Today)",positive
102,A fairly unremarkable crime caper that boasts production value and an impressive cast but is hampered by a sub-par script.,negative
103,Traffics a kind of superficial gender essentialism that makes its themes feel more didactic than incisive&#44; a reduction of thorny ideas to their most simplistic iterations&#46;,negative
104,"We may not have gotten the John Wick sequel we wanted, but it's entirely possible it's the one we need for now.",positive
105,Laced with comic romantic touches.,positive
106,"Extremely funny, well written and sharply observed comedy with strong comic performances from its talented cast.",positive
107,"None of the characters is emotionally complex, or very smart, or motivated by reasons more complex than the movie's paint-by-numbers screenplay.",negative
108,"Single dad's struggles are poignant, somewhat mature.",positive
109,The movie ends with the door wide open for a sequel; one can't imagine anyone involved jumping at the thought.,negative
110,Porn Star runs out of insight and surprises long before the closing credits roll.,negative
111,"Often gets bogged down in cliches, but Henson is just so good, and Najafi's direction so solid, that the film resonates in spite of its occasionally wooden dialogue.",positive
112,"First Snow is solidly made -- which, for this sort of film, is nothing to sneeze at -- but it doesn't leave that strong an impression either. It's a decent freshman effort.",positive
113,"...captures what it must be like to have your life suddenly turned around into total chaos, the hopelessness, the helplessness, and the despair that descends when thrown into a dungeon where people all around you are being executed on a daily basis.",positive
114,"The screenplay, adapted by both Kidd and Schulman, apparently leaves out much of the book's biting black humour.",negative
115,"Representa mais um esforço acima da média deste cineasta que, mesmo aos 74 anos, não dá sinais de pretender diminuir seu ritmo de produção.",positive
116,The funny thing is that this sounds more interesting than it is.,negative
117,"[Hugh Jackman's] a consummate professional, and that job often includes grinning through material that's beneath him and a little bit embarrassing. Director Michael Gracey's biopic of circus impresario P.T. Barnum is both of those things.",negative
118,"It's fascinating, absorbing and ultimately amazingly feel good.",positive
119,"Enough macabre interests to maintain an absorbing sit, but to reach a point of actual momentum, one must accept O'Malley's overly cautious handling of the feature's fright factor.",positive
120,"Itâ(TM)s designed to be crowd-pleasing and tug on hearts across the board, but thereâ(TM)s a manipulative quality that will put a ceiling on business.",negative
121,Woman in Gold is a David-and-Goliath story.,positive
122,"""Mank"" is exactly the type of film its troubled subject would have loved to make: a deep dive that basks in an era riddled with corruption, wastes no time exposing those who were complacent, and still finds moments to appreciate motion pictures.",positive
123,"The plot is ""ice"" thin and Ice Cube can't hold a candle to Van Diesel in my opinion. If you like a lot of car explosions and action packed scenes you will like this movie.",negative
124,"More contrived than clever, ""Stage Fright"" wants to be the musical version of ""Scream."" It isn't.",negative
125,"The film realises Raftopoulos's desire to deliver a film that looks as if it's been distilled from reality but in this instance, naturalism isn't enough. The judicious injection of a sense of heightened drama could have made all the difference.",negative
126,Mediocre A&C packed with corn and laughs.,positive
127,A sharply acted and highly entertaining morality play.,positive
128,"[The movie] has more integrity than its creepshow peers. The story basically comes down to a dead-looking woman who doesn't want to be a mother fighting for parental custody against a long-dead woman who does. (Grad students, start your theses.)",positive
129,"This picture is 115 minutes of nearly wall-to-wall actor impressions, and that does get to be too much of a good thing, unfortunately.",negative
130,"Starting at infantile and regressing hysterically from there, Step Brothers flies on the comic chemistry of Will Ferrell and John C. Reilly.",positive
131,We are blessed with both the craft and the documentation of sublime empathy that Ali brings to the film,positive
132,"Maybe you see where all this is going. But even if you do, getting there is still good, queasy fun.",positive
133,"Despite a tacked-on framing device that mostly falls flat, Kevin Hart: What Now? proves to be a laugh riot thanks to the comedian's high-energy delivery and the broad spectrum of relatable topics he integrates into his set.",positive
134,"The unique tug-of-war with viewer expectations is undeniable, if not a pleasure in its own right.",positive
135,The audience has been delighted to spend some time with a couple of remarkable young ladies.,positive
136,This version lacks the occasional brilliant flashes of the first.,negative
137,"The film is no classic, certainly, but it's not one of those throwaway puff pieces, either.",positive
138,"After enduring a lot of jokes about May-December romances, Douglas comes bouncing back with one of his best performances.",positive
139,Carey's celebratory approach to bawdy one-liners marries form with content.,positive
140,"'The only truly interesting aspect found in ""The Core"" is Jon Amiel's thoughts as to what the inner parts of Earth might look like.'",negative
141,"Even at its most unbelievable, The Siege has the performances of Washington and Bening to fall back on, and a theme that understands that what's difficult is not choosing right from wrong but 'choosing the wrong that's more right.'",positive
142,Avoids many of the tragic biopic pitfalls.,positive
143,"Attack of the Clones is the best Star Wars installment since The Empire Strikes Back, hurtling along so quickly that you hardly notice the many moments when the story fails to make sense -- even on its own fantastical terms.",positive
144,Great comedic pairing. Good fun.,positive
145,"Effectively fashioned, as jolting as it is polished, as well as a surprising, insistently political work of commercial art.",positive
146,"Relish has a talented young cast, but Ward doesn't know how to use them. A laughably bad script tanks the entire experience.",negative
147,A soft-sell Nazi-era propaganda film that was used as a vehicle for its Swedish born redheaded star Zarah Leander.,negative
148,"Calvary, however, offers no redemption or even catharsis - at best, some talk of forgiveness - and McDonagh's crude drollery, if that's the word for it, feels forced, fake, as though anger is acceptable if delivered with a punch line.",negative
149,"Yet the images, and the actions within them, lack the acerbic edge that would really drive the knife in. Much like Brause himself, the film tends toward the handsome, yet hollow.",negative
150,Miller provides arresting visuals and attention to editorial detail&#44; but he can&#8217;t shake the coldness of the material&#44; which doesn&#8217;t reach the level of profundity the production is aiming to achieve&#46;,negative
151,"Altman's film strikes an English observer as the purest, possibly the simplest Americana, the kind of thing which it takes an American to know about, which nobody else can understand so well.",positive
152,"Gina Prince-Bythewood’s action flick stars a number of young actresses joining the ranks of Agojie, but Mbedu really kills it with plenty of stunts and an emotional tale of mothers and daughters.",positive
153,... a technically impressive but altogether listless revenge tale ...,negative
154,"Not completely successful, but enjoyable enough",positive
155,"A chamber piece cousin to The Ice Storm, The Playroom hones in on the mentality of so many irresponsible '70s era parents whose children grew up to be much better people than their parents.",positive
156,"...only Isaac and Kroll get the spirit of their characters right. Worse, the very core of Addams Family magic - the highly charged eroticism of the Gomez and Morticia marriage combined with their offbeat parenting skills - is nowhere to be found.",negative
157,"... Stiller composes an egocentric protagonist to ridicule, whose extreme sensitivity could also be his last chance. [Full review in Spanish]",positive
158,Bracingly chilly!,positive
159,The cast (and the costumes) are worth the price of admission.,positive
160,"Audiences will have to be content with the admittedly lovely Provence landscape and Ridley Scott's slick, superficial direction. Those searching for anything more will be sorely disappointed.",negative
161,"Big, glossy, entertaining if not exactly compelling.",positive
162,...relies as much on the evocation of mood as it does on things that go bump in the night.,positive
163,"It doesn't do a lot of deep thinking, but unlike many futuristic combos of sf and f/x, it does make a statement: Freedom of opinion is a threat to totalitarian systems.",positive
164,"The animated shorts category is much stronger, with the two best coming at the art of 'toons from opposite quarters, aesthetic and commercial.",positive
165,"Salutes the vision that sees invisible things, cares for others, and refuses to abandon hope.",positive
166,The reputed world's most hated band is fighting the good fight.,positive
167,"Its' surreal and funny and at the exact same moments, sickening, verging on horror.",positive
168,"Sometimes, in spite of its blemishes, a film can make an impression. Heilstätten does this in the way it frames the whole piece, as well as presents the meta commentary within it.",positive
169,"A fanciful and enganging metaphysical mystery about a writer, two beauties, love and the challenges of the creative process.",positive
170,"Vigalondo may have made the most soulful film about gigantic, metropolis-smashing monsters yet.",positive
171,"A warm, winning, restless film...Beautiful, modestly progressive and heartfelt, with a wonderful, brash central performance from first-timer Waad Mohammed.",positive
172,I had no problem latching onto the two lead characters&#44; believing their feelings of loss&#44; and rooting for their inevitable reconciliation&#46;,positive
173,"I enjoyed it more than Spirited Away, because it's more straight-forward. This one is weird, but it's also grounded to human emotions.",positive
174,"Even when he threatens to fall into an abyss of navel-gazing, Antonioni never fails to offer up striking images.",positive
175,"The best movie about who gangsters are, and how they came to exert such a magnetic pull on American culture.",positive
176,"""The Lost City"" isnt a big movie, even with its big stars. Its out to provide audiences with an undemanding good time. Its a modest goal, but its one the movie reaches.",positive
177,Rushdie's script is faithful to his source novel to a fault. The lesson is that writers revisiting their work for another medium sometimes can't see the story for the words...,negative
178,This wonderfully dark story offers a mix of solid laughs and great scares and really brings this Stephen King novel to life.,positive
179,"Faster and, if possible, furiouser than its predecessors.",positive
180,Simply delightful in just how stranger than fiction it manages to be.,positive
181,The locations and cinematography are wow-inducing.,positive
182,"In a world full of remakes, reboots and sequels a truly original film has become like the sasquatch of cinema, a mythical creature long thought to be lost forever. Finding Everything Everywhere All at Once feels just like that - mythical and just magical.",positive
183,"It's all very charming, often amusing, and there is hardly a dull moment.",positive
184,"It's a delightfully bloody trip to a grimy, but melodic, Victorian London.",positive
185,"Epic in length only and peppered with sniggering homophobia, the homage to Himself drags on for three hours going on three years.",negative
186,"The Batman is a journey through the seedy underbelly of Gotham filled with epic action, unmatched cast chemistry, and maniacal villains. Everything that DC fans have wanted, and more.",positive
187,"The real stars of the sequel are the dinosaurs...But look out for the flying Pteranodons, which we see flying off into the sunset as a precursor to yet another unnecessary sequel.",negative
188,"Streep and Springfield make a surprisingly sweet pair of retirement-age rockers, but the scattered story line keeps losing the beat.",negative
189,"Wakefield's trenchant coming-of-age tale uses a classic pairing of utterly contrasting types to ground his exploration of innocence and experience, of complacency and the thirst for adventure...",positive
190,The best way to describe the whole ordeal is cheap.,negative
191,"Despite all the good is posits, The Boss Baby can never escape looking like a fake movie inside a real one - and altogether feeling like a redundancy.",negative
192,"With an arch wink and a nod, THE ASSIGNMENT dissects society's norms via its less reputable elements as cleanly and mercilessly as Jane removed Frankie's manhood.",positive
193,"The sincerity with which the clichs get served up, and so on, make a relatively smooth viewing experience. But they also render what would have been an at times harrowing real-life story into something safe and bland.",negative
194,"Director Chris Robinson moves his camera aimlessly, cutting in and out of speeches as if he were just as bored as I.",negative
195,"Reminds me of my favorite bumper sticker: 'If I knew grandchildren were so much fun, I'd have had them first.'",positive
196,"If you're sick of Hollywood teen movies that can't see past the end of their next tube of lip gloss, this Aussie alternative is well worth checking out.",positive
197,"This film reaches deep, asking questions about what's important, what real problems look like and what we are capable of.",positive
198,"Rapidly burnt by a volcanically ludicrous story, Pompeii rumbles and crumbles, over-baking itself into a frothy crisp--puffery on the outside and clichéd passions within.",negative
199,"Martin plays Clouseau as a cartoon. We always are aware of the distance between the actor and the character, whereas with Sellers, Clouseau was a part of him.",negative
200,"Makes you wonder whether Britain and China were wrong to allow Hong Kong to remain a free-market capitalist province--though the movie does not compare in quality to ""Wall Street.""",positive
201,Has the so-called Romanian New Wave slowed to a trickle?,negative
202,"Yes, there are a lot of in-jokes, but they are consistently funny, and Ralph and Vanellope have a gift for turning standard tropes sideways.",positive
203,"[Cage is] funny in his misery, because he has a natural air of exaggeration: he carries his own storm cloud with him, almost like a cartoon of the sad and lonely guys he played in Moonstruck and Raising Arizona.",positive
204,"Ms. Rao does have an ace up her sleeve, though: Prateik, who in his first lead role gives a nuanced, career-making performance.",positive
205,The movie is a masterpiece of editing &#40;by Sam O&#8217;Steen and Bob Wyman&#41; and the acting is flawlessly delivered by a brilliant&#44; tour-de-force cast&#46; ,positive
206,"Manages to be both moving and poignant largely because of the superb acting, cinematography and direction.",positive
207,"The film is so much fun that at about the 30-minute mark, I found myself wishing Werewolves Within was a TV series titled Welcome to Beaverfield.",positive
208,"...as futuristic visions go, Babylon A.D. actually gets a lot right...",positive
209,I found the extremely uncomfortable torture and gore fascinating to watch.,positive
210,"Another penny saver for Full Moon, and an unfortunate unpleasant one.",negative
211,"Taken 2, taken to where? Taken to the cleaners? In the original movie, Bryan Mills had 96 hours to save his daughter, in the sequel it seems like they have spent 96 minutes on the script.",negative
212,"As a film, Vanity Fair has a lot going for it -- including acting and energy.",positive
213,"This is not only the best Spider-Man movie that has ever been made, but it ranks on the top of the very own superhero genre. [Full review in Spanish]",positive
214,"As an avid hater of reality television, the intelligence behind James Ronald Whitney's Games People Play was quite a surprise.",positive
215,"On a thin, slightly soiled dime, ""Weiner"" pivots from the mother of all comeback stories to an alternately fascinating, mystifying and appalling portrait of the quest for power at its most obsessive and self-destructive.",positive
216,Certainly original&#44; often funny&#44; and occasionally even inspired&#46;,positive
217,"Not clever enough for Smith fans, not gross enough to compete on the Farrelly brothers' ground, the movie feels like a kind of self-congratulatory fake.",negative
218,Legion is hellishly bad.,negative
219,"A bona fide trash pastiche. So good it's bad, then? Almost, but the panache and playfulness machine-gun most of the shortcomings. DVD suppliers! Can we have the two films plus trailers in one now, please?",positive
220,"Olivier Assayas' three-part drama about Carlos the Jackal, the Venezuelan-born radical-Marxist terrorist of the '70s and '80s, is a rivetingly journalistic account of a scoundrel's rise and fall.",positive
221,"This lacklustre sequel to the 2015 hit Goosebumps hardly has enough jokes to qualify as a comedy, which leaves it stranded in the netherworld of near-horror, aimed at children supposedly not yet ready for the real thing.",negative
222,"Nope is a film of many ideas, competing for primacy in a script that somehow dodges being muddled -- and instead hits the screen as a cohesive and engrossing mosaic.",positive
223,The strength of the stylistic elements and Robbie's performance aren't sufficient to overcome the deficiencies of an initially derivative and ultimately off-kilter narrative.,negative
224,"It's probably best not to overthink a movie billed as a title fight between two of cinema's most iconic monsters, but as Godzilla vs. Kong pits these titans against each other... the results are surprisingly dull.",negative
225,Loving Vincent may not be unique but it's very special.,positive
226,"There are so many good reasons to bag ""The Bag Man."" Where to begin?",negative
227,"If Angel Eyes falters, it is because it becomes more obvious as it goes along, its sense of religiosity becoming less subtle.",positive
228,Meise performs all the signature movements of Almod&#243;var&#44; Wong Kar Wai&#44; Reynaldo Arenas or Pedro Lemebel adding an extra delay&#44; as in a tragic tai-chi of Hanekian discipline&#46;,positive
229,It's a feel-good film that actually makes you feel good.,positive
230,I won't divulge any more so you can experience the cool madness of The 11th Green for yourself. Suffice to say it's out of this world...,positive
231,"What happens when 144 tweets go viral? You get a stripper field trip that will make you heard spin like a top in Zola making you think twice about who to trust. Janicza Bravo...BRAVO! Riley Keough, Taylour Paige, Colman Domingo, Nicolas Braun SLAY",positive
232,"Empathetic and ethically compelling, it's tender and well-timed.",positive
233,The screenplay ... goes about the expected route in regards to the protagonists' superiors ... but it's in the central characters' actions that the film truly finds its edge.,positive
234,"The director of O Fantasma, Joao Pedro Rodrigues achieves his masterwork in this sublimely surreal, tragic yet transcendent melodrama celebrating the final choices of a Lisbon female impersonator.",positive
235,"The need for women in leadership positions, to champion and help young women join and stay in these jobs, is at a desperate high. Like coding itself, CODE might sound intimidating, but everyone is encouraged to give it a try.",positive
236,"Even when it strays from ... cinematic perfection, the memory of it remains, carrying the film through to its very bitter end.",positive
237,This taut and glamorous American giallo is so quintessentially '70s that its very existence feels like a day well spent at the museum of sleek lines and cocaine excess.,positive
238,Haseen Dillruba keeps us riveted for most parts at least. Taapsee and Vikrant are in top form ensuring we quite willingly get sucked into this pulpy universe.,positive
239,"A sex-free, PG-13 version of ""Freed"" could be cut without shedding a second of narrative coherence, such as it is; one could ask what the point of that would be, though similar queries might be leveled at the film as it stands.",negative
240,Sony Pictures' movie based on the Slender Man internet meme falls short of its source material's scary potential with a feature that's light on frightening moments and fails to invest in its titular creature character.,negative
241,Its familiar tale of an ambitious chorus girl's sudden rise to fame is pleasant enough but not fresh enough to hold my attention.,negative
242,"The success of Parasite is not merely marked by great filmmaking and an intriguing storyline, but deep within its foundations lies an overwhelming understanding on Bong's part of how bigotry operates at an almost molecular level.",positive
243,"Spy Game has blockbuster written all over it. The rental kind, not the box office kind.",negative
244,"Just about everything that could go wrong with this sequel did. From its tuneless songs to its flat footed dancing, there is no ""Mary Poppins"" magic on view anywhere.",negative
245,More like staying dead...a monotonous and unnecessary sequel that has all the grace and flow of a greased hog on rollerskates,negative
246,I think the film is too odd to win over its audience.,negative
247,Director Oliver Hirschbiegel uses a stark and spare style to depict the action. . . with breakdowns sudden and savage in contrast to the intermittent quiescence,positive
248,"There's so much to see, and so many little touches, that those who fall in love with it upon first viewing, and there will be many, will likely come back over and over.",positive
249,That first half is jaw-droppingly good.,positive
250,"A deep, engaging father-daughter story with very personal undertones. It's sophisticated and smart.",positive
251,This profound and immensely touching film in only 75 perfect minutes achieves the profundity of an epic.,positive
252,A well written and well-performed outlook on the lives of discharged soldiers even though it struggles to find its footing with a balanced narrative at times.,positive
253,"What Off the Map lacks in originality, it makes up for with its excellent cast and Scott's lyrical imagery.",positive
254,"Greatly shortened from Mr. Fierstein's long-running, Tony Award-winning play, the film version emphasizes the lovable at every turn, but the surprise is that it does this entertainingly and well.",positive
255,"The concept had potential, but the movie's broad approach (including a ridiculous turn by William Hurt as a mayor with a laughable dye job) drowns out its message.",negative
256,"A great film because of the way it moves beyond social commentary to show how each character, rich and poor, is isolated and at the same time unified by his fears and needs. We're all in a class by ourselves.",positive
257,"This dull, slow movie represents a major step back for director Craig Zobel, who looked like he was ready for the big time with his deeply unsettling ""Compliance"" a couple of years ago.",negative
258,Miike's seemingly offhand inventiveness is evident in almost every shot and cut.,positive
259,John F. Donovan may revisit a lot of familiar territory for Dolan but on this form it is good to welcome him home.,positive
260,French cinema's reigning - but sorely underappreciated - comic masters return with their distinctive brand of gawky slapstick.,positive
261,"The Hunt is a film that could have been soaked in agenda, but thankfully it leans much more on entertainment. And our hero character Crystal (Betty Gilpin) might be the most effective heroine since Sharni Vinson's turn in You're Next.",positive
262,"Crossing Over may hold some appeal for those who loved Crash, but this is a diluted cousin to a film that was overrated in the first place.",negative
263,"This lame crime drama would be as bad as it sounds, except Lewis is such a craftsman that he puts in enough of his noted touches to make it a less criminal watch.",negative
264,"Both the script and the direction, from Michael Showalter, move with such pleasing assurance, held aloft by warm currents of banter backstage and at the dinner table, that you don't notice the deceptions that Kumail practises in the name of deference.",positive
265,[Emma] Thompson deserves another best actress nomination and you will want to marry Stanley Tucci.,positive
266,"... lacks emotional depth and structural originality beneath its testosterone-fueled outbursts, despite a finale that packs a punch.",negative
267,A compilation of vignettes that connect somewhat loosely but make perfect sense. The connections work because Gary and Alana make them work. Because what matters is them.,positive
268,"Swardson and the gang generally opt for silly over edgy and outrageous, but Bucky is just too dashed-off a character for the movie to get by on that.",negative
269,"As a film and novel, Midnight's Children is a great baggy work ...",positive
